Date Time,DET.Flow-In.Ave.~1Day.1Day.Best [cfs]
01-Dec-2015 00:00,840.000
02-Dec-2015 00:00,1220.000
03-Dec-2015 00:00,1140.000
04-Dec-2015 00:00,1220.000
05-Dec-2015 00:00,1540.000
06-Dec-2015 00:00,1380.000
07-Dec-2015 00:00,1680.000
08-Dec-2015 00:00,11460.000
09-Dec-2015 00:00,10130.000
10-Dec-2015 00:00,9290.000
11-Dec-2015 00:00,7620.000
12-Dec-2015 00:00,5860.000
13-Dec-2015 00:00,5880.000
14-Dec-2015 00:00,7220.000
15-Dec-2015 00:00,4700.000
16-Dec-2015 00:00,3150.000
17-Dec-2015 00:00,2680.000
18-Dec-2015 00:00,7300.000
19-Dec-2015 00:00,15520.000
20-Dec-2015 00:00,8000.000
21-Dec-2015 00:00,5460.000
22-Dec-2015 00:00,5450.000
23-Dec-2015 00:00,5160.000
24-Dec-2015 00:00,4160.000
25-Dec-2015 00:00,3180.000
26-Dec-2015 00:00,2600.000
27-Dec-2015 00:00,2260.000
28-Dec-2015 00:00,1750.000
29-Dec-2015 00:00,1780.000
30-Dec-2015 00:00,1650.000
31-Dec-2015 00:00,1730.000
01-Jan-2016 00:00,1580.000
02-Jan-2016 00:00,3440.000
03-Jan-2016 00:00,1140.000
04-Jan-2016 00:00,1120.000
05-Jan-2016 00:00,1170.000
06-Jan-2016 00:00,1210.000
07-Jan-2016 00:00,1260.000
08-Jan-2016 00:00,1290.000
09-Jan-2016 00:00,1250.000
10-Jan-2016 00:00,1220.000
11-Jan-2016 00:00,1160.000
12-Jan-2016 00:00,1240.000
13-Jan-2016 00:00,1790.000
14-Jan-2016 00:00,3260.000
15-Jan-2016 00:00,3120.000
16-Jan-2016 00:00,2830.000
17-Jan-2016 00:00,3850.000
18-Jan-2016 00:00,5150.000
19-Jan-2016 00:00,5150.000
20-Jan-2016 00:00,4760.000
21-Jan-2016 00:00,5310.000
22-Jan-2016 00:00,4770.000
23-Jan-2016 00:00,4980.000
24-Jan-2016 00:00,4860.000
25-Jan-2016 00:00,4430.000
26-Jan-2016 00:00,3810.000
27-Jan-2016 00:00,3250.000
28-Jan-2016 00:00,3240.000
29-Jan-2016 00:00,5590.000
30-Jan-2016 00:00,6820.000
31-Jan-2016 00:00,5870.000
01-Feb-2016 00:00,4390.000
02-Feb-2016 00:00,4220.000
03-Feb-2016 00:00,3010.000
04-Feb-2016 00:00,2630.000
05-Feb-2016 00:00,3300.000
06-Feb-2016 00:00,3230.000
07-Feb-2016 00:00,3170.000
08-Feb-2016 00:00,3000.000
09-Feb-2016 00:00,3090.000
10-Feb-2016 00:00,3170.000
11-Feb-2016 00:00,3210.000
12-Feb-2016 00:00,3230.000
13-Feb-2016 00:00,3370.000
14-Feb-2016 00:00,3780.000
15-Feb-2016 00:00,6360.000
16-Feb-2016 00:00,6650.000
17-Feb-2016 00:00,5070.000
18-Feb-2016 00:00,4370.000
19-Feb-2016 00:00,4560.000
20-Feb-2016 00:00,4600.000
21-Feb-2016 00:00,3970.000
22-Feb-2016 00:00,3680.000
23-Feb-2016 00:00,3140.000
24-Feb-2016 00:00,2740.000
25-Feb-2016 00:00,2490.000
26-Feb-2016 00:00,2310.000
27-Feb-2016 00:00,2300.000
28-Feb-2016 00:00,3490.000
29-Feb-2016 00:00,3460.000
01-Mar-2016 00:00,3160.000
02-Mar-2016 00:00,2050.000
03-Mar-2016 00:00,3720.000
04-Mar-2016 00:00,4010.000
05-Mar-2016 00:00,3450.000
06-Mar-2016 00:00,3490.000
